edge_id,source_node_id,source_node_name,source_label,relationship_type,relationship_name,target_node_id,target_node_name,target_label,dependency_strength,is_required,auto_discovery,impact_analysis,inspection_purpose,inspection_check_item,risk_signal,impact_direction,alert_aggregation,discovery_method,graph_view,remark
REL-001,RT-001,业务环境,Environment,CONTAINS,包含,RT-002,应用,Application,强,是,半自动,是,确定应用归属环境，形成 prod/test/dev 的巡检边界。,检查应用是否绑定环境；生产环境应用是否有负责人、SLO、告警规则。,应用无环境归属；生产应用缺失 SLO/告警；环境标签不一致。,环境 -> 应用 -> 组件,环境级风险向下展开到应用；应用告警向上归并到环境。,CMDB/服务目录维护 + 标签同步,应用总览视图,环境是巡检入口之一。
REL-002,RT-002,应用,Application,CONTAINS,包含,RT-003,应用组件,ApplicationComponent,强,是,半自动,是,建立应用到组件的业务结构。,检查应用是否至少包含一个组件；组件是否归属唯一应用。,应用无组件；组件多应用归属冲突；组件孤儿节点。,应用 -> 组件；组件 -> 应用,组件告警向应用归并。,服务目录/发布平台维护,应用拓扑视图,用于应用健康评分聚合。
REL-003,RT-003,应用组件,ApplicationComponent,DEPLOYED_AS,部署为,RT-006,Deployment,Deployment,强,是,自动,是,将组件映射到实际编排对象，是巡检落地的核心关系。,检查组件是否存在 Deployment；Deployment 副本、镜像、配置是否符合基线。,组件无部署对象；Deployment 不存在；副本数为 0；期望/实际副本不一致。,组件 -> Deployment -> 命名空间/集群,Deployment 告警归并到组件。,Kubernetes API + 发布平台映射,应用拓扑视图,无状态服务默认使用 Deployment。
REL-004,RT-006,Deployment,Deployment,DEPLOYED_IN,部署在,RT-005,命名空间,Namespace,强,是,自动,是,定位 Deployment 所在隔离边界。,检查 Deployment 是否部署在正确 Namespace；Namespace 配额是否满足。,部署到错误命名空间；命名空间不存在；命名空间资源配额不足。,Deployment -> Namespace -> Cluster,命名空间异常向下影响 Deployment。,Kubernetes API,平台位置视图,Namespace 是 K8s 资源作用域。
REL-005,RT-005,命名空间,Namespace,BELONGS_TO,属于,RT-004,Kubernetes集群,KubernetesCluster,强,是,自动,是,定位命名空间所属集群。,检查命名空间是否在目标集群存在；集群是否健康。,命名空间缺失；集群不可达；集群版本/节点状态异常。,Namespace -> Cluster；Cluster -> Namespace,集群告警向下影响命名空间和应用。,Kubernetes API/集群注册表,平台位置视图,集群是平台层巡检入口。
REL-006,RT-004,Kubernetes集群,KubernetesCluster,CONTAINS,包含,RT-005,命名空间,Namespace,强,是,自动,是,从集群视角枚举业务命名空间。,检查集群内命名空间数量、命名规范、资源配额覆盖率。,未知命名空间；无配额；命名不符合规范。,Cluster -> Namespace -> App,集群风险扩散到命名空间。,Kubernetes API,集群巡检视图,与 REL-005 方向互补。
REL-007,RT-005,命名空间,Namespace,CONTAINS,包含,RT-006,Deployment,Deployment,强,是,自动,是,从命名空间视角巡检工作负载。,检查 Deployment 数量、异常副本、滚动发布状态。,不可用 Deployment；滚动发布卡住；副本异常。,Namespace -> Deployment,Namespace 层异常归因工作负载。,Kubernetes API,工作负载视图,
REL-008,RT-003,应用组件,ApplicationComponent,EXPOSES,暴露为,RT-007,Service,Service,中,是,自动,是,建立组件与访问服务的映射。,检查组件是否需要 Service；Service 是否存在 selector 和端口。,需要访问但无 Service；Service selector 为空；端口未配置。,组件 -> Service -> Ingress,Service 告警归并到组件。,Kubernetes API + 标签匹配,访问链路视图,不是所有后台任务都需要 Service。
REL-009,RT-007,Service,Service,DEPLOYED_IN,部署在,RT-005,命名空间,Namespace,强,是,自动,是,定位 Service 作用域。,检查 Service 是否在正确命名空间；端口和类型是否符合规范。,Service 不存在；类型误用 NodePort/LoadBalancer；端口不合规。,Service -> Namespace -> Cluster,Service 异常影响组件访问。,Kubernetes API,访问链路视图,
REL-010,RT-005,命名空间,Namespace,CONTAINS,包含,RT-007,Service,Service,强,是,自动,是,从命名空间视角巡检服务对象。,检查 Service 是否存在后端；是否有孤儿 Service。,Service 无后端；selector 匹配不到工作负载；端口漂移。,Namespace -> Service,Namespace 服务异常汇总。,Kubernetes API,访问链路视图,
REL-011,RT-007,Service,Service,EXPOSES,暴露,RT-006,Deployment,Deployment,强,是,自动,是,表达 Service 暴露的后端工作负载。,检查 Service selector 是否能匹配 Deployment/Pod；后端端点是否健康。,Service 无 Endpoints；selector 标签错误；端口 targetPort 错误。,Service -> Deployment -> 组件,访问异常归因到 Deployment。,Kubernetes API + 标签解析,访问链路视图,实例级可继续扩展到 Endpoint/Pod。
REL-012,RT-008,Ingress,Ingress,ROUTES_TO,路由到,RT-007,Service,Service,强,是,自动,是,表达外部 HTTP/HTTPS 入口到内部服务的路由。,检查 host/path/backend 是否存在；TLS 是否配置。,Ingress 后端 Service 不存在；路径冲突；TLS 缺失或证书过期。,Ingress -> Service -> Deployment -> 组件,Ingress 异常归并到服务和应用。,Kubernetes API/Ingress Controller,访问链路视图,公网入口重点关系。
REL-013,RT-008,Ingress,Ingress,DEPLOYED_IN,部署在,RT-005,命名空间,Namespace,强,是,自动,是,定位 Ingress 作用域。,检查 Ingress 是否在正确命名空间；是否符合环境暴露策略。,生产 Ingress 暴露策略不合规；Namespace 不匹配。,Ingress -> Namespace -> Cluster,入口风险影响命名空间应用。,Kubernetes API,访问链路视图,
REL-014,RT-005,命名空间,Namespace,CONTAINS,包含,RT-008,Ingress,Ingress,强,是,自动,是,从命名空间视角巡检入口对象。,检查 Ingress 数量、Host 冲突、TLS 覆盖率。,Host 冲突；多入口重复；未配置 TLS。,Namespace -> Ingress,入口风险按命名空间聚合。,Kubernetes API,访问链路视图,
