node_id,label,name,unique_key,env_code,app_code,component_code,cluster_id,namespace,owner_team,lifecycle_status,health_status,risk_level,inspection_status,last_inspected_at,source_system,source_ref,attrs_json
run-20260615-001,InspectionRun,生产环境定时巡检 #20260615-001,run-20260615-001,prod,order,,cce-prod-01,,SRE,completed,normal,low,passed,2026-06-15T09:30:00+08:00,InspectionEngine,runs/20260615-001,"{""run_type"":""scheduled"",""scope"":""prod/order"",""started_at"":""2026-06-15T09:25:00+08:00"",""completed_at"":""2026-06-15T09:30:00+08:00"",""duration_seconds"":300,""total_rules"":10,""passed_rules"":7,""failed_rules"":2,""skipped_rules"":1,""overall_status"":""passed"",""triggered_by"":""cron:0 */6 * * *""}"
run-20260615-002,InspectionRun,生产环境定时巡检 #20260615-002,run-20260615-002,prod,order,,cce-prod-01,,SRE,completed,warning,medium,failed,2026-06-15T10:00:00+08:00,InspectionEngine,runs/20260615-002,"{""run_type"":""scheduled"",""scope"":""prod/order"",""started_at"":""2026-06-15T09:55:00+08:00"",""completed_at"":""2026-06-15T10:00:00+08:00"",""duration_seconds"":300,""total_rules"":10,""passed_rules"":6,""failed_rules"":3,""skipped_rules"":1,""overall_status"":""warning"",""triggered_by"":""cron:0 */6 * * *""}"
rule-001,InspectionRule,Pod CPU 使用率过高,rule-001,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-001,"{""rule_category"":""resource"",""severity"":""warning"",""applies_to_resource_type"":""Pod"",""description"":""CPU 使用率超过 80% 阈值"",""remediation"":""检查应用性能；考虑增加 CPU 限制或水平扩展"",""enabled"":true}"
rule-002,InspectionRule,Pod 频繁重启,rule-002,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-002,"{""rule_category"":""availability"",""severity"":""critical"",""applies_to_resource_type"":""Pod"",""description"":""24h 内重启超过 10 次"",""remediation"":""检查 CrashLoopBackOff 原因；查看日志；检查资源限制"",""enabled"":true}"
rule-003,InspectionRule,Deployment 副本不一致,rule-003,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-003,"{""rule_category"":""availability"",""severity"":""critical"",""applies_to_resource_type"":""Deployment"",""description"":""期望副本与可用副本不一致"",""remediation"":""检查 Pod 状态；排查调度问题或资源不足"",""enabled"":true}"
rule-004,InspectionRule,Secret 即将过期,rule-004,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-004,"{""rule_category"":""security"",""severity"":""warning"",""applies_to_resource_type"":""Secret"",""description"":""证书/密钥在 14 天内过期"",""remediation"":""联系密钥管理员轮换；验证轮换后的部署"",""enabled"":true}"
rule-005,InspectionRule,镜像存在高危漏洞,rule-005,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-005,"{""rule_category"":""security"",""severity"":""critical"",""applies_to_resource_type"":""ContainerImage"",""description"":""镜像存在 Critical 级别 CVE"",""remediation"":""升级镜像到修复版本；或申请漏洞例外"",""enabled"":true}"
rule-006,InspectionRule,Service 无后端 Pod,rule-006,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-006,"{""rule_category"":""availability"",""severity"":""critical"",""applies_to_resource_type"":""Service"",""description"":""Service 选择器无匹配 Pod"",""remediation"":""检查 selector 标签；确认 Pod 是否存在"",""enabled"":true}"
rule-007,InspectionRule,Ingress TLS 即将过期,rule-007,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-007,"{""rule_category"":""security"",""severity"":""warning"",""applies_to_resource_type"":""Ingress"",""description"":""TLS 证书在 14 天内过期"",""remediation"":""更新 Ingress TLS 证书"",""enabled"":true}"
rule-008,InspectionRule,节点资源压力,rule-008,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-008,"{""rule_category"":""resource"",""severity"":""warning"",""applies_to_resource_type"":""KubernetesNode"",""description"":""节点 CPU/内存/磁盘压力"",""remediation"":""检查节点负载；考虑扩容或迁移 Pod"",""enabled"":true}"
