node_id,node_name,node_label,node_group,abstraction_level,scope,lifecycle_type,unique_key,key_properties,inspection_focus,health_fields,required_relation_summary,import_label
RT-001,业务环境,Environment,业务归属,L0/L1 治理与业务边界,Tenant/Organization,稳定对象,env_code,"env_code, env_name, env_type, owner_team, region_scope",划定巡检边界；区分生产/测试/开发；环境级风险汇总。,"health_status, risk_level, inspection_coverage, last_inspected_at",CONTAINS 应用,:ResourceType:Environment
RT-002,应用,Application,业务归属,L1 业务与应用层,Tenant/Environment,稳定对象,app_code,"app_code, app_name, business_domain, owner_team, sla_level",应用健康评分、责任归属、SLO/告警/仪表盘覆盖检查。,"health_score, slo_status, alert_coverage, dashboard_coverage",BELONGS_TO 业务环境；CONTAINS 应用组件,:ResourceType:Application
RT-003,应用组件,ApplicationComponent,业务归属,L2 应用组件层,Application,稳定对象,component_code,"component_code, component_name, app_code, runtime_type, owner_team",组件级巡检入口；Deployment、Service、配置、镜像、告警向组件归并。,"health_score, deploy_status, dependency_risk, alert_status",BELONGS_TO 应用；DEPLOYED_AS Deployment；MONITORED_BY 告警规则,:ResourceType:ApplicationComponent
RT-004,Kubernetes集群,KubernetesCluster,平台位置,L2 平台层,Cluster,稳定对象,cluster_id,"cluster_id, cluster_name, provider, region, version",集群版本、控制面健康、节点资源、命名空间承载情况。,"cluster_status, api_server_status, node_ready_ratio, version_risk",CONTAINS 命名空间；CONTAINS Kubernetes节点（扩展）,:ResourceType:KubernetesCluster
RT-005,命名空间,Namespace,平台位置,L2 平台隔离层,Cluster,稳定对象,cluster_id + namespace,"cluster_id, namespace, env_code, quota, owner_team",隔离边界、资源配额、命名规范、孤儿命名空间检查。,"quota_status, resource_usage_ratio, policy_status, last_inspected_at",BELONGS_TO Kubernetes集群；CONTAINS Deployment,:ResourceType:Namespace
RT-006,Deployment,Deployment,工作负载,L3 编排层,Namespace,稳定对象,cluster_id + namespace + deployment_name,"cluster_id, namespace, deployment_name, replicas, strategy, selector",副本一致性、发布策略、资源限制、镜像和配置引用。,"desired_replicas, available_replicas, rollout_status, restart_risk",DEPLOYED_IN 命名空间；USES ConfigMap/Secret/容器镜像；EXPOSED_BY Service,:ResourceType:Deployment
RT-007,Service,Service,服务访问,L6 服务访问层,Namespace,稳定对象,cluster_id + namespace + service_name,"cluster_id, namespace, service_name, service_type, ports, selector",服务发现、端口暴露、后端是否存在、访问链路完整性。,"endpoint_ready_count, port_status, selector_match_status",EXPOSES Deployment；ROUTED_BY Ingress,:ResourceType:Service
RT-008,Ingress,Ingress,服务访问,L6 服务访问层,Namespace/Cluster,稳定对象,cluster_id + namespace + ingress_name,"cluster_id, namespace, ingress_name, hosts, tls, ingress_class",公网/内网入口、路由规则、TLS证书、后端 Service 可达性。,"route_status, tls_status, backend_status, exposure_risk",ROUTES_TO Service；BINDS_TO 证书（扩展）,:ResourceType:Ingress
RT-009,ConfigMap,ConfigMap,配置安全,L7 配置与治理层,Namespace,配置对象,cluster_id + namespace + configmap_name,"cluster_id, namespace, configmap_name, data_keys, version_hash",配置完整性、变更影响、敏感信息误放、过期配置检查。,"config_validity, drift_status, sensitive_leak_risk",USED_BY Deployment,:ResourceType:ConfigMap
RT-010,Secret,Secret,配置安全,L7 配置与治理层,Namespace,配置对象,cluster_id + namespace + secret_name,"cluster_id, namespace, secret_name, secret_type, expiry_time, rotation_policy",密钥有效期、轮换策略、引用范围、明文/弱加密风险。,"expiry_status, rotation_status, exposure_risk, reference_count",USED_BY Deployment,:ResourceType:Secret
RT-011,镜像仓库,ContainerRegistry,镜像制品,L5 依赖与制品层,Global/Region,稳定对象,registry_id,"registry_id, registry_url, provider, access_policy, scan_policy",仓库可用性、访问权限、镜像扫描策略、仓库配额。,"availability_status, auth_status, scan_coverage, quota_status",STORES 容器镜像,:ResourceType:ContainerRegistry
RT-012,容器镜像,ContainerImage,镜像制品,L5 依赖与制品层,Registry/Repository,半稳定对象,image_digest 或 registry + repository + tag,"image_digest, image_name, tag, build_time, vulnerability_summary",镜像漏洞、latest 标签、过期镜像、镜像来源可信度。,"vulnerability_level, freshness_status, signature_status, usage_count",STORED_IN 镜像仓库；USED_BY Deployment,:ResourceType:ContainerImage
RT-013,告警规则,AlertRule,可观测,L7 配置与治理层,Application/Component/Cluster,配置对象,alert_rule_id,"alert_rule_id, rule_name, severity, expression, owner_team",告警覆盖、阈值合理性、责任人、通知通道、规则启停状态。,"enabled_status, coverage_status, noise_level, last_fired_at",MONITORS 应用/应用组件/Deployment/Service/Ingress,:ResourceType:AlertRule
RT-014,仪表盘,Dashboard,可观测,L7 配置与治理层,Application/Component,配置对象,dashboard_id,"dashboard_id, dashboard_name, owner_team, datasource, url",是否覆盖核心应用/组件；数据源是否可用；面板是否过期。,"coverage_status, datasource_status, panel_status, last_updated_at",VISUALIZES 应用/应用组件/Deployment/Service/Ingress,:ResourceType:Dashboard
